split,subgroup,count,proportion,n,columns
all,not male & not female & not gen other & not christian & not rel other & not black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & not black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & not black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & not black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & not black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & not black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & not black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & not black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & not rel other & black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & not black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & not christian & rel other & black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & not black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & not rel other & black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & not black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & not gen other & christian & rel other & black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & not black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & not rel other & black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & not white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & not white & not asian & race other,381,0.11322436849925706,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & not white & asian & not race other,134,0.03982169390787518,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & white & not asian & not race other,160,0.0475482912332838,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & not black & white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & black & not white & not asian & not race other,101,0.030014858841010402,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & black & not white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & black & not white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & black & not white & asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & black & white & not asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & black & white & not asian & race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
all,not male & not female & gen other & not christian & rel other & black & white & asian & not race other,0,0.0,3365,male;female;gen_other;christian;rel_other;black;white;asian;race_other
